child,parent,source
us-gaap:AccountsReceivableNetCurrent,us-gaap:CurrentAssets,auto
us-gaap:AccruedLiabilitiesCurrent,us-gaap:Liabilities,auto
us-gaap:AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,us-gaap:StockholdersEquity,auto
us-gaap:AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,us-gaap:StockholdersEquity,auto
us-gaap:AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,us-gaap:StockholdersEquity,auto
us-gaap:AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap:StockholdersEquity,auto
us-gaap:AdditionalPaidInCapitalCommonStock,us-gaap:StockholdersEquity,auto
us-gaap:AmortizationOfAcquiredIntangibleAssets,us-gaap:Assets,auto
us-gaap:AmortizationOfIntangibleAssets,us-gaap:Assets,auto
us-gaap:AssetImpairmentCharges,us-gaap:Assets,auto
us-gaap:Assets,us-gaap:Assets,auto
us-gaap:AssetsCurrent,us-gaap:Assets,auto
us-gaap:AssetsFairValueDisclosure,us-gaap:Assets,auto
us-gaap:AssetsOfDisposalGroupIncludingDiscontinuedOperation,us-gaap:Assets,auto
us-gaap:BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,us-gaap:Assets,auto
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,us-gaap:Assets,auto
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,us-gaap:Liabilities,auto
us-gaap:BusinessAcquisitionPurchasePriceAllocationDeferredTaxLiabilitiesNoncurrent,us-gaap:Liabilities,auto
us-gaap:BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,us-gaap:Liabilities,auto
us-gaap:BusinessAcquisitionPurchasePriceAllocationTangibleAssets,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,us-gaap:Assets,auto
